episode,train_return,episode_length,moving_return,eval_return_mean,eval_return_std,policy_loss,value_loss,entropy,total_loss,elapsed_sec
1,6.911965354171675,14,6.911965354171675,,,-739.6917114257812,0.0,2.7568154335021973,-739.6917114257812,0.1357833330403082
2,10.598753279446754,12,8.755359316809214,,,-461.5322265625,0.0,2.757115602493286,-461.5322265625,0.14075116603635252
3,7.400678717384774,10,8.303799117001068,,,-497.39068603515625,0.0,2.7573790550231934,-497.39068603515625,0.14464437501737848
4,10.623459526347236,15,8.883714219337609,,,-579.9591674804688,0.0,2.757283926010132,-579.9591674804688,0.1498343750135973
5,8.837682247984823,11,8.874507825067052,,,-497.69671630859375,0.0,2.7573251724243164,-497.69671630859375,0.1537873750203289
6,7.411689421104295,11,8.630704757739926,,,-573.87890625,0.0,2.757176399230957,-573.87890625,0.15775558300083503
7,6.610693493012533,12,8.342131719921726,,,-549.6795043945312,0.0,2.7569501399993896,-549.6795043945312,0.16209566604811698
8,5.122569092693933,7,7.9396863915182525,,,-280.32635498046875,0.0,2.7568297386169434,-280.32635498046875,0.1650735410512425
9,5.548068781531548,8,7.673951101519729,,,-437.5150146484375,0.0,2.756826162338257,-437.5150146484375,0.16822712501743808
10,15.464835834667344,15,8.45303957483449,,,-427.88909912109375,0.0,2.7567312717437744,-427.88909912109375,0.17325479100691155
11,9.723548997771243,14,8.568540431465104,,,-796.033447265625,0.0,2.7567591667175293,-796.033447265625,0.177948541007936
12,8.314930675423707,10,8.547406285128321,,,-526.47607421875,0.0,2.756603479385376,-526.47607421875,0.181621250056196
13,7.718471518023995,12,8.483642072274142,,,-461.5028381347656,0.0,2.75638747215271,-461.5028381347656,0.18584345804993063
14,7.716313698671156,10,8.428832902731072,,,-498.1127624511719,0.0,2.75631046295166,-498.1127624511719,0.18943212501471862
15,8.834620522672529,12,8.455885410727168,,,-494.5086669921875,0.0,2.756195306777954,-494.5086669921875,0.19364583300193772
16,11.267747620516426,13,8.631626798839,,,-497.82989501953125,0.0,2.7561452388763428,-497.82989501953125,0.1981036250363104
17,8.272158882438262,10,8.610481627286015,,,-386.846435546875,0.0,2.756138801574707,-386.846435546875,0.20179508300498128
18,11.508610219782316,14,8.771488771313589,,,-623.2105102539062,0.0,2.756196975708008,-623.2105102539062,0.20653354102978483
19,8.65536326667657,11,8.765376902648482,,,-452.7118835449219,0.0,2.756136894226074,-452.7118835449219,0.2104701659991406
20,15.270982111476178,18,9.090657163089867,,,-730.245361328125,0.0,2.756096839904785,-730.245361328125,0.21631908300332725
21,11.266622207365288,14,9.1942745461506,,,-647.5994262695312,0.0,2.7560086250305176,-647.5994262695312,0.22106904099928215
22,10.30666736337744,15,9.244837856024548,,,-663.8363037109375,0.0,2.755854368209839,-663.8363037109375,0.22604354104259983
23,20.194136603213035,22,9.720894323293612,,,-696.85546875,0.0,2.755692481994629,-696.85546875,0.23310591600602493
24,24.267912586371043,23,10.327020084255171,,,-506.8101806640625,0.0,2.7555243968963623,-506.8101806640625,0.24034137499984354
25,13.051672504972812,15,10.436006181083876,,,-694.384521484375,0.0,2.755398988723755,-694.384521484375,0.2453172910027206
26,11.237424089815173,15,10.609024530509616,,,-647.1744995117188,0.0,2.7552387714385986,-647.1744995117188,0.2502927500172518
27,19.098462048715213,30,10.949012881280355,,,-1091.66162109375,0.0,2.755058765411377,-1091.66162109375,0.259578249999322
28,6.71923840038669,11,10.921755268600432,,,-501.3964538574219,0.0,2.7549028396606445,-501.3964538574219,0.2635271660401486
29,9.949207338377628,15,10.894785181081648,,,-557.12060546875,0.0,2.754777193069458,-557.12060546875,0.2685380410403013
30,12.33748525943,15,11.034777301539455,,,-698.513671875,0.0,2.754744052886963,-698.513671875,0.2735027500311844
31,8.360436812042563,13,11.072727197176985,,,-529.0703125,0.0,2.7546114921569824,-529.0703125,0.2780056660412811
32,11.422950876378012,15,11.265217492511603,,,-530.6047973632812,0.0,2.7545738220214844,-530.6047973632812,0.28294183302205056
33,8.476474767868245,12,11.399373719518575,,,-491.617431640625,0.0,2.7546026706695557,-491.617431640625,0.2870578750153072
34,12.820443115131628,19,11.690268692862581,,,-680.4846801757812,0.0,2.7546610832214355,-680.4846801757812,0.29313137504504994
35,12.160855561269694,14,11.558109481926675,,,-522.272705078125,0.0,2.7547993659973145,-522.272705078125,0.29785745800472796
36,10.288812368318531,12,11.580720016748565,,,-519.3433837890625,0.0,2.7549312114715576,-519.3433837890625,0.3020960410358384
37,33.02008062314451,30,12.568926014657398,,,-288.48870849609375,0.0,2.755019187927246,-288.48870849609375,0.31134091602871194
38,11.080094469514103,16,12.703390932717003,,,-596.9595947265625,0.0,2.7551255226135254,-596.9595947265625,0.3166771250544116
39,7.7484825670402095,12,12.704677687451763,,,-452.3081359863281,0.0,2.7552907466888428,-452.3081359863281,0.3209004580276087
40,10.735988396756289,12,12.780732402415115,,,-453.202392578125,0.0,2.7555458545684814,-453.202392578125,0.32503895804984495
41,15.077603695860345,15,12.93312664542887,,,-537.810302734375,0.0,2.755793809890747,-537.810302734375,0.330074958037585
42,11.072280288971648,15,13.045131501690205,,,-501.144775390625,0.0,2.755984306335449,-501.144775390625,0.33529670804273337
43,7.554400239081044,15,12.886963102462154,,,-635.8477172851562,0.0,2.756288766860962,-635.8477172851562,0.34054758300771937
44,6.947434559920068,17,12.818645954191895,,,-903.8306274414062,0.0,2.7566182613372803,-903.8306274414062,0.34615437500178814
45,23.668564443327544,28,13.15454924746595,,,-845.0521240234375,0.0,2.7568881511688232,-845.0521240234375,0.35461850004503503
46,6.525455115610459,12,12.964902563795755,,,-567.6558837890625,0.0,2.757067918777466,-567.6558837890625,0.3588379160501063
47,10.582112919289717,15,12.975920386032248,,,-652.7249145507812,0.0,2.757242441177368,-652.7249145507812,0.3636672500288114
48,10.038332842811034,19,12.569688235616168,,,-846.6250610351562,0.0,2.75738525390625,-846.6250610351562,0.36983983300160617
49,30.26272939876766,27,12.809480908112032,,,-297.7306213378906,0.0,2.757530450820923,-297.7306213378906,0.3780079160351306
50,19.669651799879748,19,13.074200079908312,25.119346166834582,0.6063483268544457,-584.442626953125,0.0,2.757722854614258,-584.442626953125,0.4036586250294931
51,8.479133054648782,11,12.963868438501656,,,-480.8621520996094,0.0,2.7578253746032715,-480.8621520996094,0.40759216604055837
52,62.6103087015663,37,14.704342304615698,,,1306.07568359375,0.0,2.7579166889190674,1306.07568359375,0.41991075000260025
53,62.84975389602424,44,16.949562924441203,,,1404.49560546875,0.0,2.7580251693725586,1404.49560546875,0.4328976250253618
54,15.488074038444731,21,17.171117592443885,,,-816.9532470703125,0.0,2.7581589221954346,-816.9532470703125,0.4397945410455577
55,35.3265076103558,31,18.090678486480915,,,-326.4889221191406,0.0,2.7582430839538574,-326.4889221191406,0.44983600004343316
56,11.821810374930973,14,18.229133428996455,,,-637.159912109375,0.0,2.758227825164795,-637.159912109375,0.4553019580198452
57,7.346014068005894,14,18.066055956661568,,,-712.1923217773438,0.0,2.758155584335327,-712.1923217773438,0.4604103750316426
58,10.89630563080456,16,18.16284919117902,,,-587.3320922851562,0.0,2.758065938949585,-587.3320922851562,0.4657934160204604
59,16.161676551391142,19,18.2964985286294,,,-479.3523254394531,0.0,2.758038282394409,-479.3523254394531,0.4721321660326794
60,16.382029246258952,24,18.465345476028975,,,-926.171142578125,0.0,2.758133888244629,-926.171142578125,0.48034979100339115
61,9.438131531612648,14,18.431318242560735,,,-541.509033203125,0.0,2.7582027912139893,-541.509033203125,0.48561641603009775
62,10.799691876472252,15,17.542502692693844,,,-715.3304443359375,0.0,2.7583205699920654,-715.3304443359375,0.49140641605481505
63,12.66857758286216,29,17.606042017227768,,,-1203.4212646484375,0.0,2.7583727836608887,-1203.4212646484375,0.5017885000561364
64,7.448009470120277,14,17.59402309335097,,,-712.1930541992188,0.0,2.758474826812744,-712.1930541992188,0.5077273330534808
65,72.58022145950773,42,20.067792415861028,,,2120.967529296875,0.0,2.758544921875,2120.967529296875,0.5250208330107853
66,28.507666150988562,37,20.604994914066154,,,-861.253662109375,0.0,2.7586252689361572,-861.253662109375,0.5376083330484107
67,56.697922120081856,62,22.430020587310565,,,157.1483154296875,0.0,2.7586922645568848,157.1483154296875,0.5575239580357447
68,14.281045720257378,17,22.699086406557615,,,-612.4366455078125,0.0,2.7587194442749023,-612.4366455078125,0.5638185410061851
69,169.6086134323975,81,29.20553356145672,,,12167.2021484375,0.0,2.7587389945983887,12167.2021484375,0.588178375037387
70,171.89356191844095,93,35.13453346046125,,,12387.412109375,0.0,2.7587175369262695,12387.412109375,0.6159128330182284
71,146.38898940890343,82,40.72907483219297,,,10269.28125,0.0,2.758617401123047,10269.28125,0.6428843750036322
72,77.02864684117023,52,43.386936189068194,,,2334.373291015625,0.0,2.758523464202881,2334.373291015625,0.659005583031103
73,28.366536920603057,38,44.12006435217988,,,-952.756591796875,0.0,2.758453369140625,-952.756591796875,0.6710275410441682
74,65.81910455418705,46,45.542319358396654,,,1633.1240234375,0.0,2.758387565612793,1633.1240234375,0.6855355830048211
75,111.13694998652554,64,49.20101128586248,,,4854.3505859375,0.0,2.758340358734131,4854.3505859375,0.7044186250423081
76,114.24093982677172,62,53.43148355674739,,,5990.57958984375,0.0,2.7582855224609375,5990.57958984375,0.7230345830321312
77,53.90173118008549,40,53.08314045588817,,,586.4461059570312,0.0,2.7582459449768066,586.4461059570312,0.7359466250054538
78,11.591556220051107,15,51.032812548849236,,,-627.0829467773438,0.0,2.758120536804199,-627.0829467773438,0.7415632910560817
79,155.36792128103602,79,56.62800643855289,,,10193.9765625,0.0,2.75799822807312,10193.9765625,0.7655022910330445
80,73.58504056129578,43,58.15834775659048,,,2090.58154296875,0.0,2.757798910140991,2090.58154296875,0.779322000045795
81,173.8609206181561,93,64.63991216631949,,,13372.6845703125,0.0,2.757629156112671,13372.6845703125,0.8063478750409558
82,101.17256104323106,59,68.3929740453285,,,4022.123046875,0.0,2.7574586868286133,4022.123046875,0.8233630000031553
83,152.54127714649766,80,74.05877290595622,,,10403.6904296875,0.0,2.757274627685547,10403.6904296875,0.8460687500191852
84,79.24723299863932,45,76.58219516384615,,,2193.723388671875,0.0,2.7570714950561523,2193.723388671875,0.859247041051276
85,200.344500212854,93,83.94069400250996,,,15848.21484375,0.0,2.756842851638794,15848.21484375,0.885344916023314
86,119.50803001158377,66,88.3434899417088,,,5949.40966796875,0.0,2.7565455436706543,5949.40966796875,0.9041666660341434
87,146.78871032018702,78,93.78305067945739,,,9264.19140625,0.0,2.756234884262085,9264.19140625,0.9260185830062255
88,167.9862208498207,93,99.99575641013573,,,12772.240234375,0.0,2.7559125423431396,12772.240234375,0.9521079160040244
89,55.904482292729746,33,101.93401532304011,,,905.6093139648438,0.0,2.7556490898132324,905.6093139648438,0.9628595830290578
90,116.06905264003504,73,103.6735685702612,,,6009.99072265625,0.0,2.7554476261138916,6009.99072265625,0.9838872500113212
91,64.13809798927498,40,105.09878584379267,,,1419.3472900390625,0.0,2.7552249431610107,1419.3472900390625,0.9956920830300078
92,19.664313226323095,33,103.61744148804229,,,-1410.2421875,0.0,2.755059003829956,-1410.2421875,1.0067131660180166
93,152.55169246191076,83,109.14826735770843,,,9181.619140625,0.0,2.754833221435547,9181.619140625,1.031474416027777
94,49.88981768982602,30,104.3595155280056,,,642.6087646484375,0.0,2.7545416355133057,642.6087646484375,1.0416330000152811
95,62.16402882249829,37,99.97033420416788,,,1216.711181640625,0.0,2.7543325424194336,1216.711181640625,1.0529646250070073
96,86.26795350285352,49,97.56549276792586,,,3163.76611328125,0.0,2.754117965698242,3163.76611328125,1.0670009580207989
97,70.62099889142156,40,97.30918684993594,,,1730.80224609375,0.0,2.7539315223693848,1730.80224609375,1.0787206660024822
98,83.66858476828146,48,99.52126876384305,,,2784.7607421875,0.0,2.753758430480957,2784.7607421875,1.0929000830510631
99,86.36871896976017,50,100.34325334046599,,,2967.4033203125,0.0,2.753563642501831,2967.4033203125,1.1075170410331339
100,84.9522068526277,48,99.29586361511006,50.50213560681935,0.9168881072036412,2929.1328125,0.0,2.7533929347991943,2929.1328125,1.1463950830511749
101,67.76338672605566,45,97.43676149108146,,,1746.8665771484375,0.0,2.753215789794922,1746.8665771484375,1.160339541034773
102,133.02944865683824,105,100.60187019015153,,,11098.4794921875,0.0,2.753108024597168,11098.4794921875,1.190513750014361
103,114.29219596593424,88,104.70989577998688,,,7846.4443359375,0.0,2.7530248165130615,7846.4443359375,1.216110291017685
104,58.232806866325426,35,100.82449120339845,,,971.71923828125,0.0,2.752971649169922,971.71923828125,1.227543625049293
105,94.98474980526923,52,101.68047957315737,,,3927.461181640625,0.0,2.75292706489563,3927.461181640625,1.2436774160014465
106,49.18985971787025,29,96.69363713714594,,,570.5377807617188,0.0,2.752931833267212,570.5377807617188,1.2534262500121258
107,103.13980409428675,57,96.77232685918818,,,4029.938720703125,0.0,2.7529473304748535,4029.938720703125,1.2695675000431947
108,89.50127039724049,50,94.2507265892179,,,2878.383056640625,0.0,2.7529358863830566,2878.383056640625,1.2839972500223666
109,101.32238040548687,56,95.1337324854918,,,4047.411865234375,0.0,2.752805709838867,4047.411865234375,1.300332208047621
110,110.35272498571945,59,91.53406147640641,,,5100.48828125,0.0,2.7526180744171143,5100.48828125,1.317237125011161
111,68.61115851618615,41,89.4981866165905,,,1947.88232421875,0.0,2.752411365509033,1947.88232421875,1.3294218750088476
112,97.26674403344327,53,87.51730796512078,,,4460.73486328125,0.0,2.7522690296173096,4460.73486328125,1.3448791660484858
113,66.17762544186462,40,83.44496414880251,,,1295.5810546875,0.0,2.752171039581299,1295.5810546875,1.3567135000484996
114,195.94041134550304,94,89.04640131091347,,,17070.1484375,0.0,2.752075433731079,17070.1484375,1.3837422500364482
115,88.48291198166497,53,87.94295568457865,,,2921.334716796875,0.0,2.752013683319092,2921.334716796875,1.3993768750224262
116,121.49986483769769,64,90.23742635851555,,,6134.5322265625,0.0,2.7519497871398926,6134.5322265625,1.4181898750248365
117,56.820461437578004,84,91.72367228696575,,,774.4325561523438,0.0,2.751887321472168,774.4325561523438,1.443567291018553
118,44.86374229177253,27,87.41615428016023,,,265.89306640625,0.0,2.751765251159668,265.89306640625,1.4526123329997063
119,86.6484259435775,55,88.88649861031028,,,3337.7763671875,0.0,2.7516226768493652,3337.7763671875,1.470431333000306
120,104.39511819186305,82,90.57574218508485,,,5374.322265625,0.0,2.7514920234680176,5374.322265625,1.4951171660213731
121,86.17249726267784,50,90.57192393547784,,,2537.348876953125,0.0,2.751309871673584,2537.348876953125,1.5097535829991102
